animal,sire,dam,generation,sex
1671,328,482,2,1
1673,328,482,2,1
1674,328,325,2,0
1675,328,482,2,1
1676,328,325,2,0
1677,328,482,2,1
1680,328,325,2,0
1681,328,470,2,1
1682,326,464,2,0
1683,328,470,2,1
1684,326,464,2,0
1685,328,470,2,1
1686,326,464,2,0
1687,328,470,2,1
1690,326,301,2,0
1692,326,301,2,0
1693,328,466,2,1
1694,326,301,2,0
1695,328,466,2,1
1697,328,466,2,1
1698,326,489,2,0
1701,328,466,2,1
1702,326,322,2,0
1703,328,466,2,1
1704,326,322,2,0
1705,328,466,2,1
1707,328,325,2,1
1708,326,322,2,0
1709,328,325,2,1
1710,326,322,2,0
1711,328,325,2,1
1712,326,322,2,0
1713,326,464,2,1
1715,326,464,2,1
1717,326,464,2,1
1718,326,303,2,0
1719,326,464,2,1
1720,326,303,2,0
1721,326,464,2,1
1722,326,303,2,0
1724,326,303,2,0
1725,326,301,2,1
1726,326,303,2,0
1727,326,301,2,1
1728,326,303,2,0
1729,326,301,2,1
1730,326,303,2,0
1731,326,301,2,1
1733,326,301,2,1
1734,326,471,2,0
1735,326,301,2,1
1736,326,471,2,0
1737,326,489,2,1
1739,326,489,2,0
1740,328,315,2,0
1742,328,315,2,0
1743,326,322,2,1
1745,326,322,2,1
1746,328,468,2,0
1748,328,468,2,0
1750,328,468,2,0
1751,326,303,2,1
1752,326,494,2,0
1753,326,303,2,1
1754,326,494,2,0
1755,326,471,2,1
1758,328,493,2,0
1759,326,471,2,1
1760,328,493,2,0
1761,326,471,2,1
1762,328,493,2,0
1763,326,471,2,1
1764,328,316,2,0
1765,326,471,2,1
1766,328,316,2,0
1767,328,315,2,1
1769,328,315,2,1
1771,328,315,2,1
1773,328,315,2,1
1774,328,316,2,0
1775,328,315,2,1
1776,326,476,2,0
1777,328,315,2,1
1778,326,476,2,0
1779,328,315,2,1
1782,331,465,2,0
1783,328,468,2,1
1784,331,465,2,0
1785,328,468,2,1
1786,330,313,2,0
1787,328,468,2,1
1788,330,313,2,0
1789,328,468,2,1
1790,328,495,2,0
1791,328,468,2,1
1793,328,468,2,0
1795,326,494,2,1
1797,326,494,2,1
1798,335,324,2,0
1799,326,494,2,1
1800,335,324,2,0
1801,326,494,2,1
1802,328,459,2,0
1803,326,494,2,1
1804,328,459,2,0
1805,328,493,2,1
1806,328,459,2,0
1807,328,493,2,1
1808,328,459,2,0
1810,328,459,2,0
1811,328,493,2,1
1814,328,459,2,0
1815,328,493,2,1
1818,328,459,2,0
1819,328,493,2,1
1820,328,459,2,0
1821,328,316,2,1
1823,328,316,2,1
1824,328,491,2,0
1825,328,316,2,1
1826,328,463,2,0
1827,328,316,2,1
1828,328,463,2,0
1829,328,316,2,1
1831,326,476,2,1
1832,328,463,2,0
1833,326,476,2,1
1836,335,473,2,0
1837,331,465,2,1
1838,335,473,2,0
1839,331,465,2,1
1843,331,465,2,1
1844,335,473,2,0
1845,331,465,2,1
1847,331,465,2,1
1848,335,321,2,0
1849,331,465,2,1
1850,335,321,2,0
1851,331,465,2,1
1853,330,313,2,1
1854,335,321,2,0
1855,330,313,2,1
1856,335,321,2,0
1857,328,495,2,1
1858,335,479,2,0
1861,328,495,2,1
1862,335,456,2,0
1863,328,495,2,1
1864,328,490,2,0
1865,328,495,2,1
1866,328,490,2,0
1868,328,160,2,0
1870,328,490,2,0
1871,328,495,2,1
1872,328,490,2,0
1874,328,490,2,0
1875,328,495,2,1
1876,328,160,2,0
1878,328,160,2,0
1879,335,324,2,1
1880,328,160,2,0
1881,335,324,2,1
1883,335,324,2,1
1884,335,314,2,0
1886,335,314,2,0
1888,335,319,2,0
1889,328,459,2,1
1890,328,497,2,0
1891,328,459,2,1
1893,328,459,2,1
1897,328,491,2,1
1898,328,497,2,0
1899,328,463,2,0
1902,335,460,2,0
1903,335,473,2,1
1904,335,460,2,0
1907,335,473,2,1
1908,335,460,2,0
1910,335,460,2,0
1912,335,460,2,0
1914,311,472,2,0
1915,335,321,2,1
1916,311,472,2,0
1917,335,321,2,1
1918,311,472,2,0
1919,335,321,2,1
1920,335,318,2,0
1923,335,321,2,1
1927,335,479,2,1
1928,330,320,2,0
1929,335,479,2,1
1930,330,320,2,0
1931,335,479,2,1
1933,335,479,2,1
1934,330,320,2,0
1935,335,479,2,1
1936,330,320,2,0
1937,335,479,2,1
1941,335,456,2,1
1942,330,320,2,0
1945,335,456,2,0
1946,311,464,2,0
1949,335,456,2,1
1952,330,470,2,0
1953,335,456,2,1
1957,328,490,2,1
1958,311,482,2,0
1959,328,490,2,1
1960,311,482,2,0
1961,328,160,2,1
1963,335,314,2,1
1964,311,482,2,0
1965,335,314,2,1
1968,311,482,2,0
1971,335,314,2,1
1972,311,482,2,0
1973,335,319,2,1
1974,311,489,2,0
1976,311,489,2,0
1977,328,497,2,1
1978,311,489,2,0
1979,328,497,2,1
1980,311,489,2,0
1981,328,497,2,1
1982,311,489,2,0
1984,331,478,2,0
1988,331,325,2,0
1989,335,460,2,1
1990,331,325,2,0
1991,335,460,2,1
1992,331,325,2,0
1993,335,460,2,1
1995,335,460,2,1
1996,331,325,2,0
1999,311,472,2,1
2000,330,301,2,0
2001,311,472,2,1
2003,311,472,2,1
2004,330,301,2,0
2005,311,472,2,1
2007,311,472,2,1
2009,311,472,2,1
2010,330,301,2,0
2011,311,472,2,1
2013,335,318,2,1
2014,331,484,2,0
2015,335,318,2,1
2016,330,471,2,0
2017,335,318,2,1
2018,330,471,2,0
2019,335,318,2,1
2020,330,471,2,0
2022,328,312,2,0
2023,330,320,2,1
2024,328,312,2,0
2025,330,320,2,1
2026,330,315,2,0
2027,330,320,2,1
2029,330,320,2,1
2030,330,315,2,0
2031,330,320,2,1
2032,330,316,2,0
2033,330,320,2,1
2036,330,494,2,0
2037,311,464,2,1
2038,330,494,2,0
2039,311,464,2,1
2040,330,494,2,0
2041,311,464,2,1
2044,330,494,2,0
2046,328,468,2,0
2048,328,468,2,0
2050,328,468,2,0
2053,330,470,2,1
2055,330,470,2,1
2056,330,476,2,0
