"ID"	"wt_birth"	"car_wt"	"num_ribs"	"car_bf10"	"car_lma"	"sex"	"perc_duroc"	"sire"	"dam"	"litter"	"slgdt_cd"
"100"	1113	1.81	92.06	NA	27.94	45.16	"M"	0.630506235581189	326	316	13	2
"101"	1114	0.91	79.82	NA	15.24	45.48	"F"	0.494186841265182	328	324	16	6
"102"	1115	1.54	78.46	NA	25.4	36.77	"M"	0.491802244699803	326	316	13	1
"103"	1116	1.22	73.92	NA	15.24	43.23	"F"	0.385387976288116	328	324	16	5
"104"	1117	1.59	84.81	NA	30.48	40.32	"M"	0.480329856567501	326	316	13	3
"105"	1118	1.09	76.19	NA	22.86	39.35	"F"	0.491712021338717	328	324	16	4
"106"	1119	1.18	83.45	NA	27.94	40.65	"M"	0.448916680312909	326	316	13	3
"107"	1120	1.5	86.62	NA	20.32	50.65	"F"	0.528060481499548	335	463	17	6
"108"	1121	1.13	86.17	NA	30.48	43.87	"M"	0.521020244726716	326	316	13	3
"109"	1122	1.5	77.1	NA	15.24	40.65	"F"	0.492514956121251	335	461	18	4
"110"	1123	1.04	71.66	NA	34.29	32.26	"M"	0.48204524859993	326	316	13	2
"111"	1124	1.63	86.17	NA	22.86	36.13	"F"	0.503591503677959	335	461	18	6
"112"	1125	1.27	88.44	NA	30.48	45.48	"M"	0.485849038783729	326	316	13	3
"113"	1126	1.27	81.63	NA	20.32	48.06	"F"	0.458374188871216	335	461	18	4
"114"	1128	1.45	86.17	NA	15.24	44.52	"F"	0.466060098705207	335	461	18	6
"115"	1130	1.91	78.46	NA	16.51	41.29	"F"	0.509890091285706	335	461	18	4
"116"	1131	1.77	92.52	NA	30.48	35.48	"M"	0.523613311051087	326	476	14	1
"117"	1133	1.41	77.1	NA	27.94	37.1	"M"	0.491618901906206	326	476	14	1
"118"	1134	1.09	76.19	NA	19.05	47.1	"F"	0.488248120988978	311	473	19	5
"119"	1135	1.63	86.62	NA	26.67	37.74	"M"	0.516136369028359	311	458	15	4
"120"	1136	1.68	81.86	NA	20.32	42.26	"F"	0.404700141357859	311	473	19	5
"121"	1137	1.36	95.69	NA	17.78	45.48	"M"	0.564246683935848	311	458	15	6
"122"	1138	1.32	78.91	NA	12.7	44.84	"F"	0.506063250321319	311	473	19	4
"123"	1139	1.5	78	NA	30.48	30.32	"M"	0.515799097100445	311	458	15	4
"124"	1140	1.5	84.81	NA	17.78	44.19	"F"	0.445221770586891	335	472	20	4
"125"	1141	1.27	74.83	NA	15.24	40.65	"M"	0.531986880702872	311	458	15	4
"126"	1142	1.59	83.45	NA	13.97	41.61	"F"	0.549662786684473	335	472	20	4
"127"	1143	1.36	78.46	NA	25.4	35.16	"M"	0.537519883032743	311	458	15	6
"128"	1144	1.13	89.8	NA	25.4	46.77	"F"	0.447348234874261	335	472	20	6
"129"	1145	1.77	75.96	NA	27.94	39.35	"M"	0.542307258272154	328	324	16	5
"130"	1146	1.81	86.17	NA	15.24	46.13	"F"	0.511328718539463	326	456	21	6
"131"	1147	1.59	74.83	NA	20.32	37.1	"M"	0.510274636701379	328	324	16	5
"132"	1148	2	82.54	NA	25.4	45.16	"F"	0.46206442165208	326	456	21	4
"133"	1149	1.27	76.19	NA	16.51	43.23	"M"	0.418656126961624	328	324	16	6
"134"	1150	2	80.73	NA	13.97	49.03	"F"	0.515914113035657	326	456	21	4
"135"	1151	1.45	77.55	NA	17.78	44.19	"M"	0.464983501384916	335	463	17	4
"136"	1152	1.41	82.99	NA	25.4	39.03	"F"	0.429020317821705	311	480	22	5
"137"	1153	2.04	79.37	NA	21.59	37.74	"M"	0.517577811783916	335	463	17	4
"138"	1154	1.68	87.76	NA	15.24	40	"F"	0.474155092306205	311	480	22	5
"139"	1155	1.77	73.02	NA	17.78	37.74	"M"	0.597720615469344	335	463	17	6
"140"	1156	0.77	75.28	NA	30.48	43.23	"F"	0.480574301709877	311	480	22	6
"141"	1157	1.86	70.29	NA	20.32	36.45	"M"	0.497892367555631	335	463	17	6
"142"	1158	1.91	81.41	NA	24.13	36.77	"F"	0.463063191618483	335	479	23	5
"143"	1159	1.68	78.91	NA	17.78	40	"M"	0.505444586841458	335	463	17	4
"144"	1160	1.54	78.91	NA	17.78	41.94	"F"	0.474959453155999	335	479	23	6
"145"	1161	1.45	77.55	NA	12.7	40	"M"	0.455382776229345	335	463	17	4
"146"	1162	2.04	79.82	NA	12.7	44.52	"F"	0.440969609810954	335	479	23	4
"147"	1163	1.68	83.9	NA	17.78	43.87	"M"	0.472165227780363	335	463	17	4
"148"	1164	1.72	77.1	NA	15.24	43.23	"F"	0.478193582127361	335	479	23	4
"149"	1166	1.36	84.81	NA	11.43	47.1	"F"	0.523037795401622	335	479	23	6
"150"	1167	1.95	97.05	NA	22.86	48.06	"M"	0.501605395356629	335	461	18	4
"151"	1168	1.27	76.64	NA	22.86	32.9	"F"	0.551391138948993	335	479	23	6
"152"	1169	1.68	89.34	NA	20.32	45.48	"M"	0.469943435451405	335	461	18	4
"153"	1170	1.63	72.79	NA	29.21	34.52	"F"	0.448803032299124	335	479	23	5
"154"	1173	1.72	87.98	NA	40.64	39.03	"M"	0.491358369031292	311	473	19	4
"155"	1175	1.27	78	NA	30.48	38.39	"M"	0.501330903438265	311	473	19	6
"156"	1176	1.68	88.44	NA	22.86	45.48	"F"	0.480059557329501	335	477	24	6
"157"	1177	1.54	86.17	NA	15.24	38.71	"M"	0.432025608260849	311	473	19	5
"158"	1178	1.72	74.38	NA	12.7	39.99	"F"	0.727449335527901	335	474	25	NA
"159"	1179	1.72	94.56	NA	20.32	42.58	"M"	0.469490215089471	311	473	19	5
