ID,wt_birth,car_wt,num_ribs,car_bf10,car_lma,sex,perc_duroc,sire,dam,litter,slgdt_cd
1149,1.27,76.19,NA,16.51,43.23,M,0.418656126961624,328,324,16,6
1150,2,80.73,NA,13.97,49.03,F,0.515914113035657,326,456,21,4
1151,1.45,77.55,NA,17.78,44.19,M,0.464983501384916,335,463,17,4
1152,1.41,82.99,NA,25.4,39.03,F,0.429020317821705,311,480,22,5
1153,2.04,79.37,NA,21.59,37.74,M,0.517577811783916,335,463,17,4
1154,1.68,87.76,NA,15.24,40,F,0.474155092306205,311,480,22,5
1155,1.77,73.02,NA,17.78,37.74,M,0.597720615469344,335,463,17,6
1156,0.77,75.28,NA,30.48,43.23,F,0.480574301709877,311,480,22,6
1157,1.86,70.29,NA,20.32,36.45,M,0.497892367555631,335,463,17,6
1158,1.91,81.41,NA,24.13,36.77,F,0.463063191618483,335,479,23,5
1159,1.68,78.91,NA,17.78,40,M,0.505444586841458,335,463,17,4
1160,1.54,78.91,NA,17.78,41.94,F,0.474959453155999,335,479,23,6
1161,1.45,77.55,NA,12.7,40,M,0.455382776229345,335,463,17,4
1162,2.04,79.82,NA,12.7,44.52,F,0.440969609810954,335,479,23,4
1163,1.68,83.9,NA,17.78,43.87,M,0.472165227780363,335,463,17,4
1164,1.72,77.1,NA,15.24,43.23,F,0.478193582127361,335,479,23,4
1166,1.36,84.81,NA,11.43,47.1,F,0.523037795401622,335,479,23,6
1167,1.95,97.05,NA,22.86,48.06,M,0.501605395356629,335,461,18,4
1168,1.27,76.64,NA,22.86,32.9,F,0.551391138948993,335,479,23,6
1169,1.68,89.34,NA,20.32,45.48,M,0.469943435451405,335,461,18,4
1170,1.63,72.79,NA,29.21,34.52,F,0.448803032299124,335,479,23,5
1173,1.72,87.98,NA,40.64,39.03,M,0.491358369031292,311,473,19,4
1175,1.27,78,NA,30.48,38.39,M,0.501330903438265,311,473,19,6
1176,1.68,88.44,NA,22.86,45.48,F,0.480059557329501,335,477,24,6
1177,1.54,86.17,NA,15.24,38.71,M,0.432025608260849,311,473,19,5
1178,1.72,74.38,NA,12.7,39.99,F,0.727449335527901,335,474,25,NA
1179,1.72,94.56,NA,20.32,42.58,M,0.469490215089471,311,473,19,5
1181,1.54,81.18,NA,21.59,41.94,M,0.49833259327537,311,473,19,4
1182,1.45,87.98,NA,25.4,40.32,F,0.458890598742906,335,317,26,6
1184,1.91,77.1,NA,10.16,44.19,F,0.445871178246429,335,317,26,4
1185,1.45,92.97,NA,30.48,39.35,M,0.474790219802883,335,472,20,4
1186,1.91,78,NA,17.78,44.19,F,0.438968040080234,335,317,26,4
1188,1.68,73.92,NA,11.43,44.52,F,0.494028356899593,335,317,26,4
1189,1.72,92.06,NA,30.48,47.1,M,0.432290319482713,326,456,21,6
1190,1.72,77.55,NA,15.24,52.26,F,0.434698291996816,335,317,26,6
1191,2.13,77.1,NA,21.59,38.39,M,0.503011122521116,326,456,21,4
1192,1.45,68.71,NA,20.32,42.26,F,0.496555014051604,330,460,27,7
1193,1.36,84.81,NA,30.48,38.71,M,0.48748298190636,311,480,22,4
1194,1.63,73.92,NA,20.32,43.55,F,0.534763712431488,330,460,27,7
1195,0.82,81.18,NA,27.94,38.71,M,0.497576284546058,311,480,22,6
1196,1.5,82.09,NA,22.86,42.9,F,0.591901027932624,330,460,27,8
1197,0.95,76.64,NA,38.1,44.84,M,0.532922909782646,311,480,22,5
1199,1.77,81.86,NA,30.48,36.45,M,0.445053928641228,311,480,22,5
1201,1.54,76.19,NA,15.24,40.32,M,0.57610476375129,335,479,23,4
1202,1.45,78,NA,22.86,38.06,F,0.364080471726355,335,318,28,8
1203,1.41,78.46,NA,17.78,37.1,M,0.5274076817768,335,479,23,6
1205,1.81,82.99,NA,15.24,40.32,M,0.39846568022493,335,479,23,5
1206,2.04,80.27,NA,15.24,43.87,F,0.495938033182534,335,483,29,9
1207,1.45,76.42,NA,22.86,37.1,M,0.352646865027083,335,479,23,5
1208,1.95,89.8,NA,20.32,42.26,F,0.468349977867363,335,483,29,8
1209,1.36,62.59,NA,17.78,35.81,M,0.517982994301429,335,479,23,6
1210,1.81,78.91,NA,17.78,40.32,F,0.449812673719199,335,483,29,8
1211,1.27,80.27,NA,27.94,30.32,M,0.524526449160272,335,477,24,4
1212,1.77,80.73,NA,15.24,41.61,F,0.459204030215362,335,483,29,9
1213,1.45,85.27,NA,22.86,41.93,M,0.803215311880924,335,474,25,NA
1214,1.91,80.27,NA,15.24,43.87,F,0.48603595278949,335,483,29,9
1216,1.32,79.82,NA,25.4,37.74,F,0.524455157979798,331,471,30,8
1217,1.49,82.1,NA,25.4,37.09,M,0.827168170209694,335,474,25,NA
1218,2.09,78.91,NA,29.21,31.29,F,0.492956996114122,331,471,30,8
1220,1.45,73.92,NA,15.24,37.42,F,0.437775827952614,331,471,30,9
1221,1.59,84.81,NA,17.78,42.9,M,0.611003015681462,335,317,26,6
1222,1.36,77.55,NA,17.78,32.58,F,0.500043000567514,331,471,30,8
1223,1.54,82.54,NA,22.86,45.16,M,0.417831416791243,335,317,26,6
1224,1.13,76.64,NA,26.67,32.9,F,0.509889793563657,331,471,30,8
1225,1.68,85.71,NA,33.02,36.77,M,0.484835304712548,335,317,26,4
1226,1.77,82.99,NA,29.21,39.35,F,0.510026010724704,331,320,31,8
1227,1.45,75.28,NA,24.13,38.39,M,0.51309506433268,330,460,27,8
1228,1.36,85.26,NA,25.4,43.87,F,0.451558639653678,331,320,31,8
1229,1.54,86.17,NA,33.02,42.26,M,0.505614139520135,330,460,27,8
1232,1.36,79.82,NA,16.51,45.81,F,0.466457261188291,335,325,32,9
1233,1.22,82.99,NA,22.86,44.19,M,0.570302943192982,330,460,27,8
1234,1.36,73.47,NA,13.97,39.35,F,0.504658060314275,335,325,32,9
1235,1.18,82.09,NA,21.59,41.29,M,0.464447341490816,330,460,27,8
1236,1.59,83.9,NA,15.24,48.71,F,0.506516265854259,335,325,32,9
1237,1.59,74.83,NA,31.75,34.84,M,0.525189033094536,330,460,27,7
1239,1.95,84.58,NA,33.02,43.87,M,0.427005390104655,330,460,27,7
1240,1.27,70.52,NA,19.05,40,F,0.483528858815671,335,325,32,7
1241,2.13,87.07,NA,22.86,41.94,M,0.565246270615566,335,318,28,8
1242,1.04,62.59,NA,15.24,34.84,F,0.526409047965787,335,325,32,7
1244,1.72,71.66,NA,13.97,40,F,0.573724464943571,331,482,33,9
1245,1.45,83.45,NA,20.32,44.84,M,0.504140859597735,335,318,28,9
1246,1.18,78.46,NA,25.4,41.61,F,0.403121471573681,330,470,34,8
1247,1.63,97.96,NA,20.32,48.39,M,0.540173868313308,335,483,29,8
1248,1.54,79.37,NA,15.24,44.19,F,0.485654636050603,330,470,34,8
1252,1.5,81.63,NA,17.78,45.16,F,0.540355290779399,330,470,34,9
1253,1.54,79.82,NA,33.02,31.94,M,0.604847102205769,331,471,30,9
1254,1.95,85.27,NA,31.75,41.93,F,NA,326,464,35,NA
1255,1.36,80.73,NA,25.4,32.9,M,0.54551054435121,331,471,30,8
1256,1.85,74.84,NA,20.32,42.34,F,NA,326,464,35,NA
1257,1.59,83.9,NA,27.94,39.35,M,0.480183950714488,331,320,31,8
1258,1.72,84.35,NA,13.97,51.94,F,0.432314675280186,335,466,36,9
1259,1.59,82.99,NA,35.56,33.23,M,0.50048679302613,331,320,31,9
1260,1.59,83.9,NA,16.51,49.03,F,0.507197342520894,335,466,36,9
1261,1.45,78.46,NA,29.21,39.68,M,0.513845016063708,331,320,31,8
1262,1.59,78.91,NA,17.78,42.9,F,0.498855069741989,331,478,37,9
1264,1.59,78,NA,31.75,37.1,M,0.525888719491816,331,478,37,8
1265,1.68,75.74,NA,27.94,33.87,M,0.466735337950037,335,325,32,7
1266,1.59,77.55,NA,20.32,45.48,F,0.51903418469411,331,478,37,8
1267,1.22,62.81,NA,17.78,36.45,M,0.498658109934812,335,325,32,7
1270,1.27,85.71,NA,25.4,40.32,F,0.417040361653532,331,478,37,9
1271,1.18,84.35,NA,24.13,41.61,M,0.509272683081494,330,470,34,9
1272,1.41,80.73,NA,39.37,34.84,F,0.468502048262866,331,478,37,8
1274,1.41,86.17,NA,12.7,42.9,F,0.514591509647546,335,489,38,9
1275,1.91,82.09,NA,19.05,50.65,M,0.483085862867711,335,466,36,8
1276,1.68,79.82,NA,20.32,39.03,F,0.50513139142546,335,489,38,8
1277,1.5,78.91,NA,17.78,43.55,M,0.456801614133408,335,466,36,9
1278,1.54,72.79,NA,19.05,42.26,F,0.407153260098261,335,489,38,7
1279,1.77,83.45,NA,20.32,41.94,M,0.490692678110953,335,466,36,9
1280,1.59,81.18,NA,17.78,45.81,F,0.451050166087551,335,489,38,9
1281,1.27,74.38,NA,17.78,38.39,M,0.55122732418144,335,466,36,9
1282,1.54,65.76,NA,17.78,36.45,F,0.617434881647773,335,489,38,7
1283,1.68,77.55,NA,31.75,38.71,M,0.531172344603197,335,466,36,9
1284,1.22,69.39,NA,12.7,39.35,F,0.452874061544639,335,301,39,8
1285,1.63,75.74,NA,25.4,31.29,M,0.531350961863315,335,466,36,8
1286,1.13,76.19,NA,20.32,37.1,F,0.469922495509888,335,301,39,9
1287,1.18,80.27,NA,25.4,38.06,M,0.512364886533429,331,478,37,9
1288,1.86,78.91,NA,20.32,41.61,F,0.5266556299858,331,321,40,8
1290,1.18,80.73,NA,15.24,50.32,F,0.519095038314734,331,321,40,9
1291,1.86,72.56,NA,15.24,42.58,M,0.47781777956771,335,489,38,7
1292,1.86,73.02,NA,15.24,41.61,F,0.519332036862101,331,321,40,9
1293,1.54,65.31,NA,17.78,31.61,M,0.494822781876918,335,489,38,9
1294,1.63,87.53,NA,21.59,38.71,F,0.568576400501792,335,319,41,9
1295,1.59,68.71,NA,17.78,37.42,M,0.509560577561308,335,489,38,7
1296,1.36,69.84,NA,12.7,35.16,F,0.509791710769394,335,303,42,9
1297,1.27,84.81,NA,26.67,38.06,M,0.550307150940104,335,301,39,9
1299,1.32,81.63,NA,19.05,41.94,M,0.461751274130753,335,301,39,9
1300,1.91,67.12,NA,15.24,43.55,F,0.374008796090686,335,303,42,7
1301,1.09,78,NA,31.75,30.32,M,0.518249377615162,335,301,39,9
1302,1.59,81.63,NA,12.7,45.81,F,0.486896108064666,335,303,42,9
1303,1.13,85.26,NA,22.86,37.42,M,0.553295156222185,335,301,39,9
1304,1.41,64.85,NA,12.7,39.35,F,0.520520584845207,335,303,42,7
1306,1.36,74.38,NA,17.78,36.45,F,0.468515212748844,331,322,43,9
1307,1.5,81.18,NA,48.26,30,M,0.504368348885137,331,321,40,8
1308,0.95,63.04,NA,NA,NA,F,0.501361877956339,331,322,43,9
1309,2.09,87.07,NA,27.94,33.23,M,0.464214040162316,335,319,41,8
1310,1.63,74.38,NA,17.78,37.1,F,0.548047086238826,331,322,43,8
1311,2.09,81.18,NA,27.94,32.58,M,0.495997778766412,335,319,41,8
1312,0.82,63.04,NA,13.97,38.06,F,0.532959939736478,331,322,43,9
1313,1.72,90.7,NA,29.21,35.81,M,0.471557002470227,335,319,41,8
1314,0.86,68.48,NA,17.78,39.35,F,0.527831979695759,331,322,43,9
1315,1.95,87.53,NA,20.32,38.06,M,0.539095209718579,335,319,41,8
1316,1.68,79.82,14,15.24,42.26,F,0.510204373894592,335,312,44,12
1317,2.22,77.1,NA,15.24,37.42,M,0.440300136549835,335,319,41,8
1319,2,77.1,NA,30.48,32.58,M,0.558451974033601,335,303,42,8
1320,1.63,76.19,15,17.78,44.84,F,0.535005023575753,335,312,44,12
1321,1.72,77.55,NA,27.94,41.94,M,0.462293834086849,335,303,42,7
1322,1.91,75.74,13,19.05,41.94,F,0.513993980068405,335,312,44,10
1323,2.18,70.75,NA,22.86,33.87,M,0.488889614050247,335,303,42,7
1324,1.63,87.53,15,20.32,47.42,F,0.544302709907764,335,312,44,12
1325,1.04,78,NA,22.86,35.81,M,0.509650284494572,335,303,42,9
1326,1.63,84.35,15,17.78,49.68,F,0.519866904940668,311,467,45,12
1327,1.5,78.46,NA,25.4,35.81,M,0.500625244159212,331,322,43,8
